_key,geo_location,latitude,longitude,count
55b4f9e5c516e0b6,"Orlando, FL",28.50167835,-81.36777265,3
4015afc69a8a8506,"Cranston, RI",41.768938,-71.46396775,1
7cbee617cc64f301,"Glenwood Springs, CO",39.5316015,-107.33789105,2
b82fa51f6957a1eb,"El Cajon, CA",32.7992539,-116.9523525,1
d7a415f64e104994,"Faribault, MN",44.296456199999994,-93.2764652,1
79e9c581a414e49e,"Ken Caryl, CO",39.580225,-105.1319435,1
01575afa542018aa,"Brook Highland, AL",33.4359565,-86.68754985,3
80eb17ffe368fc9a,"Huntington Beach, CA",33.69254185,-117.9987325,3
14b7e6a78837521a,"Rockwall, TX",32.920541,-96.4268065,2
c7713df0d15fdd4e,"Ellisville, MO",38.5881625,-90.5883815,2
a1839e9c3b5abff6,"Sunrise Manor, NV",36.184753900000004,-115.0611275,2
8fa6d7a33b83ef26,"Paradise, NV",36.0609645,-115.1351649,2
813a485b26b8dae2,"Albuquerque, NM",35.1170026,-106.6327181,1
918c943e88cc3e5d,"Schaumburg, IL",42.0323445,-88.09117950000001,2
dbd1411661903bb0,"Framingham, MA",42.305097,-71.43568164999999,1
4b25aded08900fd8,"Reno, NV",39.512436,-119.827182,9
575c6d4e1b73546d,"Calabasas, CA",34.13726,-118.662606,1
42835dec78de1327,"Brentwood, TN",35.9952715,-86.7779855,1
1193edda55d6fa3d,"West Covina, CA",34.0471795,-117.89666199999999,1
050c276f7bcbb37e,"Beavercreek, OH",39.727936,-84.047553,1
28ace6b8d6dbc3af,"Chula Vista, CA",32.633767,-117.02246315,2
01dbb65417ea1f56,"Oshtemo, MI",42.2844555,-85.7027245,1
ecbe2aea853af44e,"Tallahassee, FL",30.476215500000002,-84.266174,3
ec689e69912965d0,"Concord, NC",35.4019815,-80.6311314,2
97e1b68100f6629d,"Long Branch, NJ",40.2943565,-73.993546,1
42e46bc3663a4b5f,"Fort Worth, TX",32.7799665,-97.28591349999999,4
b046074b1030a44d,"Jersey City, NJ",40.7180015,-74.06666295,4
d1cd39353c51904d,"Boca Raton, FL",26.3739755,-80.13498615,1
0c2e6999105f8070,"Anaheim, CA",33.842863,-117.851089,15
000fc3e67b627897,"Beloit, WI",42.5530415,-89.01402680000001,1
9979d3480f2d1e45,"Palm Bay, FL",27.986947,-80.65181799999999,2
01df0964763e9f17,"Hoffman Estates, IL",42.072283999999996,-88.151832,1
5e6cc87c609e3a59,"Manchester, NH",42.971199049999996,-71.4440806,2
8173485c72e78ca5,"Atlanta, GA",33.7671944,-84.433106,3
008d3fb17b92f969,"Coventry, RI",41.68983695,-71.6017605,1
2687a8e28487bb51,"Zarzal, Puerto Rico",18.385125000000002,-65.78642400000001,1
2c1b499801cd0ef4,"Brockton, MA",42.0845665,-71.02677449999999,2
00c39537733fa112,"Queens, NY",40.670879549999995,-73.8311875,6
