week,date,value
1,1/1/21,28994.00977
2,1/8/21,39381.76563
3,1/15/21,39156.70703
4,1/22/21,30817.625
5,1/29/21,34318.67188
6,2/5/21,36931.54688
7,2/12/21,47877.03516
8,2/19/21,51675.98047
9,2/26/21,47180.46484
10,3/5/21,48527.03125
11,3/12/21,57821.21875
12,3/19/21,57850.44141
